Date,Anomaly
200702,-0.07
200703,0.12
200704,0.18
200705,0.69
200706,0.46
200707,-0.64
200708,-0.7
200709,-0.01
200710,0.67
200711,0.71
200712,-0.54
200801,0.31
200802,-2.01
200803,0.81
200804,-0.5
200805,0.08
200806,-0.13
200807,-0.09
200808,-0.14
200809,0.09
200810,-0.24
200811,0.42
200812,1.23
200901,1.78
200902,0.86
200903,-0.69
200904,0.48
200905,0.12
200906,1.51
200907,0.07
200908,0.78
200909,1.2
200910,1.36
200911,-0.57
200912,0.63
201001,1.32
201002,2.11
201003,-0.69
201004,0.5
201005,1.18
201006,0.72
201007,-0.57
201008,0.43
201009,-0.45
201010,0.19
201011,1.41
201012,-0.14
201101,-0.68
201102,1.59
201103,-0.82
201104,0.32
201105,0.19
201106,0.72
201107,1.45
201108,-0.04
201109,0.1
201110,0.07
201111,-0.72
201112,-1.71
201201,-0.36
201202,1.33
201203,-1.14
201204,0.34
201205,0.05
201206,-0.99
201207,-0.82
201208,-0.48
201209,0.22
201210,0.48
201211,0.83
201212,0.57
201301,2.11
201302,1.83
201303,1.01
201304,-0.5
201305,-0.17
201306,-0.19
201307,0.79
201308,-0.61
201309,0.26
201310,-0.25
201311,0.92
201312,-0.07
201401,-0.08
201402,-0.41
201403,1.35
201404,0.21
201405,-0.44
201406,0.5
201407,0.61
201408,-1.07
201409,-0.65
201410,-0.04
201411,0.38
201412,0.88
201501,-1.05
201502,1.92
201503,1.27
201504,-1.48
201505,0.66
201506,1.18
201507,1.4
201508,0.41
201509,0.15
201510,0.71
201511,-0.03
201512,-2.9
201601,-1.4
201602,-0.38
201603,3.14
201604,0.39
201605,0.9
201606,-0.28
201607,-0.14
201608,0.08
201609,0.5
201610,0.71
201611,1.43
201612,0.53
201701,2.68
201702,-1.44
201703,0.42
201704,0.24
201705,0.57
201706,-0.11
201707,0.32
201708,0.07
201709,0.26
201710,0.69
201711,-0.07
201712,1.98
201801,-2.16
201802,2.54
201803,1
201804,-0.27
201805,0.83
201806,-0.77
201807,-0.13
201808,0.23
201809,-0.08
201810,0.91
201811,0.49
201812,-0.24
201901,2.01
201902,0.48
201903,0.6
201904,0.82
201905,1.07
201906,-0.62
201907,0.33
201908,-0.21
201909,0.56
201910,-0.81
201911,0.19
201912,0.22
202001,-1.49
202002,-1.15
202003,1.14
202004,0.51
202005,1.13
202006,1.08
202007,0.32
202008,-0.16
202009,-0.61
202010,-0.07
202011,-0.11
202012,1.41
202101,0.89
202102,-1.13
202103,0.69
202104,-0.31
202105,-0.26
202106,0.89
202107,-0.68
202108,0.17
202109,0.56
202110,1.13
202111,1.63
202112,1.44
